INDEX	Jheel	Jtoe	Jside	CourtyardExcess	CourtyardRoundOff
H10M	+0.10	+0.70	+0.50	+0.40	0.01
H10N	-0.05	+0.50	+0.40	+0.20	0.01
H10L	-0.10	+0.30	-0.30	+0.10	0.01
HMAXM	+0.05	+1.00	+0.60	+0.80	0.01
HMAXN	+0.00	+0.70	+0.50	+0.40	0.01
HMAXL	-0.05	+0.40	+0.40	+0.20	0.01
